[Dev, 17-Aug-2015 02:37:45]: kek
[Dev, 17-Aug-2015 03:00:49]: :;god
[Dev, 17-Aug-2015 03:14:19]: test
[Dev, 17-Aug-2015 16:01:49]: fuk
[Dev, 17-Aug-2015 16:18:24]: nigga
[Dev, 18-Aug-2015 23:56:00]: w5trhe56h
[Dev, 18-Aug-2015 23:56:01]: 5hje5r6h56ehe56
[Blibis, Aug 19, 2015 1:34:49 PM]: you
[Blibis, Aug 19, 2015 1:34:50 PM]: at
[Blibis, Aug 19, 2015 1:35:31 PM]: where
[Blibis, Aug 19, 2015 1:35:32 PM]: you
[Blibis, Aug 19, 2015 1:35:33 PM]: at
[Blibis, Aug 19, 2015 1:35:35 PM]: oh
[Blibis, Aug 19, 2015 1:37:08 PM]: underwall tunnels don't work?
[Blibis, Aug 19, 2015 1:37:09 PM]: rip
[Blibis, Aug 19, 2015 2:23:40 PM]: :commands
[Blibis, Aug 19, 2015 2:52:47 PM]: new phone who dis
[Snow, Aug 19, 2015 2:52:50 PM]: nigga
[Snow, Aug 19, 2015 2:53:03 PM]: thh
[Snow, Aug 19, 2015 2:53:04 PM]: e456e56h
[Snow, Aug 19, 2015 2:53:04 PM]: he5
[Snow, Aug 19, 2015 2:53:05 PM]: mk
[Snow, Aug 19, 2015 2:53:05 PM]: r67j
[Snow, Aug 19, 2015 2:53:06 PM]: 6rj7
[Snow, Aug 19, 2015 2:53:06 PM]: jr
[Snow, Aug 19, 2015 2:53:06 PM]: 6rjkr67
[Blibis, Aug 19, 2015 2:53:28 PM]: scrolls up
[Blibis, Aug 19, 2015 2:53:34 PM]: racist
[Snow, Aug 19, 2015 2:53:38 PM]: rolls up
[Snow, Aug 19, 2015 2:53:40 PM]: dick down
[Blibis, Aug 19, 2015 2:55:05 PM]: twinsies
[Blibis, Aug 19, 2015 4:36:02 PM]: talk to me for the Basics.
[Blibis, Aug 19, 2015 4:38:38 PM]: talk to me for the Basics.
[Snow, Aug 19, 2015 4:38:42 PM]: Talk to me for the basics.
[Blibis, Aug 19, 2015 4:39:14 PM]: STOP
[Blibis, Aug 19, 2015 4:39:22 PM]: that was all caps
[Blibis, Aug 19, 2015 4:43:51 PM]: boop
[Blibis, Aug 19, 2015 7:08:54 PM]: cumfuk
[Snow, Aug 19, 2015 7:08:58 PM]: cum fuk
[Blibis, Aug 19, 2015 8:41:16 PM]: iron dragons
[Curtzeninja, Aug 19, 2015 9:43:06 PM]:  ::home
[Curtzeninja, Aug 19, 2015 9:43:17 PM]: :home
[Curtzeninja, Aug 19, 2015 9:43:40 PM]:  ::home
[Curtzeninja, Aug 19, 2015 9:48:25 PM]:  ::home
[Curtzeninja, Aug 19, 2015 9:48:30 PM]: :home
[Snow, Aug 19, 2015 10:10:08 PM]: x[)
[Snow, Aug 19, 2015 10:11:37 PM]: lvl 96 lol noob
[Snow, Aug 19, 2015 10:11:42 PM]: 1v1 wildy
[Snow, Aug 19, 2015 10:11:44 PM]: x[)
[Snow, Aug 19, 2015 10:11:47 PM]: x[)
[Snow, Aug 19, 2015 10:11:47 PM]: x[)
[Snow, Aug 19, 2015 10:11:49 PM]: x[)
[Snow, Aug 19, 2015 10:11:50 PM]: x[)
[Snow, Aug 19, 2015 10:11:50 PM]: x[)
[Blibis, Aug 19, 2015 10:11:53 PM]: XD
[Blibis, Aug 19, 2015 10:11:53 PM]: XD
[Blibis, Aug 19, 2015 10:11:54 PM]: XD
[Snow, Aug 19, 2015 10:11:55 PM]: x[)
[Blibis, Aug 19, 2015 10:14:20 PM]: grammer
[Blibis, Aug 19, 2015 10:14:28 PM]: eks dee
[Eyeizmoorey, Aug 19, 2015 10:17:06 PM]:                          iiiiii
[Blibis, Aug 19, 2015 10:18:16 PM]: talk to me for the basics.
[Snow, Aug 19, 2015 10:18:35 PM]: Talk to me for the basics.
[Curtzeninja, Aug 19, 2015 10:19:38 PM]: 0
[Curtzeninja, Aug 19, 2015 10:45:50 PM]: my skype borked aah
[Blibis, Aug 19, 2015 11:16:08 PM]: :(((
[Snow, Aug 19, 2015 11:16:29 PM]: :[)
[Blibis, Aug 19, 2015 11:17:48 PM]: brb
[Snow, Aug 19, 2015 11:17:52 PM]: :[)
[Snow, Aug 19, 2015 11:18:05 PM]: :[]
[Snow, Aug 19, 2015 11:18:08 PM]: tooth half
[Snow, Aug 19, 2015 11:18:08 PM]: boys
[Blibis, Aug 19, 2015 11:18:11 PM]: jkHBKJSDF
[Snow, Aug 19, 2015 11:18:12 PM]: yeah
[Snow, Aug 19, 2015 11:18:13 PM]: fuck you!!!
[Snow, Aug 19, 2015 11:18:16 PM]: yeahhhhhh!!!!!!!!!
[Blibis, Aug 19, 2015 11:18:16 PM]: kill me
[Blibis, Aug 19, 2015 11:20:32 PM]: ....
[Snow, Aug 19, 2015 11:21:35 PM]: :[]
[Blibis, Aug 19, 2015 11:25:08 PM]: :(
[Blibis, Aug 19, 2015 11:32:10 PM]: X|)
[Blibis, Aug 19, 2015 11:43:18 PM]: X|)
[Snow, Aug 19, 2015 11:45:19 PM]: gl for godsword noob
[Snow, Aug 19, 2015 11:45:21 PM]: :[]
[Blibis, Aug 19, 2015 11:45:23 PM]: ty
[Eyeizmoorey, Aug 19, 2015 11:46:55 PM]:   ::home
[Blibis, Aug 19, 2015 11:50:01 PM]: t0pk3k
[Snow, Aug 20, 2015 12:06:55 AM]: l2pk
[Blibis, Aug 20, 2015 12:14:18 AM]: weebs
[Curtzeninja, Aug 20, 2015 12:14:24 AM]: ikr
[Blibis, Aug 20, 2015 12:27:34 AM]: snow
[Snow, Aug 20, 2015 12:27:37 AM]: snow
[Blibis, Aug 20, 2015 12:37:08 AM]: ples stahp
[Snow, Aug 20, 2015 12:37:23 AM]: pls tooth half of key
[Blibis, Aug 20, 2015 12:38:38 AM]: ez elo
[Blibis, Aug 20, 2015 12:40:48 AM]: NEWLGSIH
[Blibis, Aug 20, 2015 12:41:05 AM]: ..................
[Blibis, Aug 20, 2015 1:02:20 AM]: i got a tooth half
[Snow, Aug 20, 2015 1:02:23 AM]: die
[Blibis, Aug 20, 2015 1:02:26 AM]: and got a fucking pirate hat
[Snow, Aug 20, 2015 1:02:30 AM]: cum fuk
[Blibis, Aug 20, 2015 1:02:34 AM]: lmao
[Blibis, Aug 20, 2015 1:06:51 AM]: cool
[Blibis, Aug 20, 2015 1:06:53 AM]: cool
[Snow, Aug 20, 2015 1:06:53 AM]: so hip
[Snow, Aug 20, 2015 1:06:54 AM]: rad
[Snow, Aug 20, 2015 1:06:55 AM]: gnarly
[Snow, Aug 20, 2015 1:10:14 AM]: cum fuk yung
[Snow, Aug 20, 2015 1:23:11 AM]: dragon set
[Blibis, Aug 20, 2015 1:23:36 AM]: :^ )
[Snow, Aug 20, 2015 1:23:38 AM]: :^)
[Eyeizmoorey, Aug 20, 2015 1:23:46 AM]: :^)
[Blibis, Aug 20, 2015 1:23:54 AM]: many keks were had that day
[Snow, Aug 20, 2015 1:24:00 AM]: I'm still in the call
[Snow, Aug 20, 2015 1:24:07 AM]: :[]
[Snow, Aug 20, 2015 1:24:12 AM]: >:[]
[Blibis, Aug 20, 2015 1:25:45 AM]: random 
[Blibis, Aug 20, 2015 1:25:46 AM]: number
[Blibis, Aug 20, 2015 1:25:48 AM]: generator
[Snow, Aug 20, 2015 1:26:11 AM]: mine
[Snow, Aug 20, 2015 1:26:12 AM]: :[]
[Snow, Aug 20, 2015 1:26:23 AM]: wat
[Snow, Aug 20, 2015 1:26:25 AM]: []
[Snow, Aug 20, 2015 1:26:25 AM]: []
[Snow, Aug 20, 2015 1:26:26 AM]: []
[Snow, Aug 20, 2015 1:26:26 AM]: []
[Snow, Aug 20, 2015 1:26:27 AM]: []
[Curtzeninja, Aug 20, 2015 1:26:28 AM]: :O
[Curtzeninja, Aug 20, 2015 1:26:39 AM]: xDDDDDDD
[Snow, Aug 20, 2015 1:26:40 AM]: it looks like :O but square
[Snow, Aug 20, 2015 1:26:41 AM]: :[]
[Snow, Aug 20, 2015 1:26:48 AM]: [ + ) = [)
[Snow, Aug 20, 2015 1:26:51 AM]: x[)
[Eyeizmoorey, Aug 20, 2015 1:26:52 AM]:  :[]
[Eyeizmoorey, Aug 20, 2015 1:26:56 AM]: :[]
[Curtzeninja, Aug 20, 2015 1:27:03 AM]: x[)
[Eyeizmoorey, Aug 20, 2015 1:27:03 AM]: [][][][][][][][][][][][][][]
[Snow, Aug 20, 2015 1:27:09 AM]: x[)[)[)
[Eyeizmoorey, Aug 20, 2015 1:27:12 AM]: xdddddddddddddddddddd
[Blibis, Aug 20, 2015 1:27:19 AM]: X[)
[Snow, Aug 20, 2015 1:27:21 AM]: x[)
[Snow, Aug 20, 2015 1:27:33 AM]: xd
[Blibis, Aug 20, 2015 1:27:39 AM]: teehee
[Snow, Aug 20, 2015 1:28:02 AM]: :(
[Snow, Aug 20, 2015 1:28:29 AM]: welp
[Snow, Aug 20, 2015 1:28:31 AM]: I got a tooth
[Snow, Aug 20, 2015 1:28:42 AM]: godsword here we come
[Snow, Aug 20, 2015 1:28:45 AM]: :[)
[Blibis, Aug 20, 2015 1:28:55 AM]: blah
[Snow, Aug 20, 2015 1:29:03 AM]: wat
[Snow, Aug 20, 2015 1:29:15 AM]: godsword
[Snow, Aug 20, 2015 1:29:16 AM]: armadyl
[Snow, Aug 20, 2015 1:29:21 AM]: guthix platelegs
[Snow, Aug 20, 2015 1:29:38 AM]: wat
[Snow, Aug 20, 2015 1:29:41 AM]: guthix platelegs
[Snow, Aug 20, 2015 1:29:47 AM]: :^)
[Snow, Aug 20, 2015 1:29:56 AM]: :^[)
[Snow, Aug 20, 2015 1:30:12 AM]: :[]
[Snow, Aug 20, 2015 1:30:18 AM]: join the friends chat "Snow"
[Curtzeninja, Aug 20, 2015 1:30:24 AM]: [].[]
[Snow, Aug 20, 2015 1:30:29 AM]: []_____[]
[Curtzeninja, Aug 20, 2015 1:30:36 AM]: []~[]
[Snow, Aug 20, 2015 1:30:53 AM]: guthix, saradomin and zamorak are gods
[Snow, Aug 20, 2015 1:31:05 AM]: o
[Snow, Aug 20, 2015 1:31:16 AM]: another tooth
[Snow, Aug 20, 2015 1:31:17 AM]: L0l
[Blibis, Aug 20, 2015 1:31:19 AM]: fist of guthix
[Snow, Aug 20, 2015 1:31:27 AM]: godsword hype
[Snow, Aug 20, 2015 1:31:40 AM]: tell them to join the fc
[Snow, Aug 20, 2015 1:31:51 AM]: fucking
[Snow, Aug 20, 2015 1:31:52 AM]: beret
[Eyeizmoorey, Aug 20, 2015 1:32:15 AM]: ayy lmao
[Snow, Aug 20, 2015 1:32:15 AM]: got a beret
[Snow, Aug 20, 2015 1:32:51 AM]: no idea
[Snow, Aug 20, 2015 1:32:54 AM]: oh
[Snow, Aug 20, 2015 1:32:56 AM]: this one?
[Snow, Aug 20, 2015 1:32:59 AM]: 714
[Snow, Aug 20, 2015 1:33:30 AM]: :[]
[Snow, Aug 20, 2015 1:33:45 AM]: :[]
[Eyeizmoorey, Aug 20, 2015 1:33:49 AM]: [
[Snow, Aug 20, 2015 1:33:52 AM]: key inbound
[Snow, Aug 20, 2015 1:34:05 AM]: ah
[Snow, Aug 20, 2015 1:34:10 AM]: o
[Snow, Aug 20, 2015 1:34:11 AM]: kkee
[Snow, Aug 20, 2015 1:34:29 AM]: :[]
[Snow, Aug 20, 2015 1:35:19 AM]: confirmed
[Snow, Aug 20, 2015 1:35:23 AM]: i am levelling def wrong
[Snow, Aug 20, 2015 1:35:26 AM]: fuk
[Snow, Aug 20, 2015 1:35:36 AM]: 3rd option on a weapon is usually shared xp
[Snow, Aug 20, 2015 1:36:23 AM]: exercise
[Snow, Aug 20, 2015 1:37:54 AM]: talk about dicks
[Snow, Aug 20, 2015 1:38:13 AM]: both
[Snow, Aug 20, 2015 1:38:19 AM]: it splits
[Snow, Aug 20, 2015 1:38:33 AM]: whoops
[Snow, Aug 20, 2015 1:38:44 AM]: ask him about plums
[Snow, Aug 20, 2015 1:38:54 AM]: juicy
[Snow, Aug 20, 2015 1:38:54 AM]: plums
[Snow, Aug 20, 2015 1:39:04 AM]: :[]
[Snow, Aug 20, 2015 1:39:18 AM]: barrows it is
[Snow, Aug 20, 2015 1:39:27 AM]: or frost dragons
[Snow, Aug 20, 2015 1:39:28 AM]: idk
[Snow, Aug 20, 2015 1:39:39 AM]: need prayer or barrow items
[Snow, Aug 20, 2015 1:39:48 AM]: I want 99
[Snow, Aug 20, 2015 1:40:20 AM]: same
[Snow, Aug 20, 2015 1:40:53 AM]: I will bless you
[Snow, Aug 20, 2015 1:41:01 AM]: with a sacrifice
[Snow, Aug 20, 2015 1:41:13 AM]: i have 5
[Snow, Aug 20, 2015 1:41:53 AM]: I sense disappointment
[Snow, Aug 20, 2015 1:42:04 AM]: for wat
[Snow, Aug 20, 2015 1:45:07 AM]: affirmative
[Snow, Aug 20, 2015 1:54:03 AM]: jester hat (green + red)
[Snow, Aug 20, 2015 2:05:58 AM]:  ::home
[Blibis, Aug 20, 2015 1:16:37 PM]: ayy lmao
[Snow, Aug 20, 2015 1:16:45 PM]: get that godsword
[Blibis, Aug 20, 2015 1:16:52 PM]: i'll open them
[Blibis, Aug 20, 2015 1:16:52 PM]: now
[Blibis, Aug 20, 2015 1:17:01 PM]: HOME I GO
[Blibis, Aug 20, 2015 1:17:50 PM]: mom get the camera
[Snow, Aug 20, 2015 1:17:57 PM]: berets
[Blibis, Aug 20, 2015 1:18:55 PM]: i just got a loop half
[Blibis, Aug 20, 2015 1:18:58 PM]: first crab
[Blibis, Aug 20, 2015 1:19:06 PM]: the luck is with me today
[Snow, Aug 20, 2015 1:20:24 PM]: fuk
[Blibis, Aug 20, 2015 1:20:37 PM]: i say the luck is with me
[Blibis, Aug 20, 2015 1:20:44 PM]: but i don't ever get anything good
[Snow, Aug 20, 2015 1:21:00 PM]: : (((((((((
[Blibis, Aug 20, 2015 1:21:08 PM]: time to off myself
[Snow, Aug 20, 2015 1:21:22 PM]: barrows time
[Blibis, Aug 20, 2015 1:21:32 PM]: agility today :((((
[Snow, Aug 20, 2015 1:21:38 PM]: god save you
[Blibis, Aug 20, 2015 1:21:49 PM]: i'll do it tonight
[Blibis, Aug 20, 2015 1:21:51 PM]: not enough time now
[Blibis, Aug 20, 2015 1:24:13 PM]: ayyyy
[Snow, Aug 20, 2015 1:24:18 PM]: oh god
[Blibis, Aug 20, 2015 1:24:26 PM]: wat
[Snow, Aug 20, 2015 1:24:41 PM]: combat stats
[Snow, Aug 20, 2015 1:24:43 PM]: take long
[Blibis, Aug 20, 2015 1:24:48 PM]: only defence to go
[Snow, Aug 20, 2015 1:25:02 PM]: use a dscim for that as you get 4 combat options
[Snow, Aug 20, 2015 1:25:04 PM]: not shared xp
[Blibis, Aug 20, 2015 1:25:19 PM]: i was
[Blibis, Aug 20, 2015 1:25:21 PM]: because
[Blibis, Aug 20, 2015 1:25:21 PM]: i 
[Blibis, Aug 20, 2015 1:25:22 PM]: don't
[Blibis, Aug 20, 2015 1:25:23 PM]: have
[Blibis, Aug 20, 2015 1:25:23 PM]: a
[Blibis, Aug 20, 2015 1:25:25 PM]: godsword
[Snow, Aug 20, 2015 1:25:33 PM]: godsword does shared xp :^) 
[Snow, Aug 20, 2015 1:26:11 PM]: so dharok just hit me for 600
[Blibis, Aug 20, 2015 1:26:15 PM]: lol
[Blibis, Aug 20, 2015 1:26:17 PM]: rip
[Blibis, Aug 20, 2015 1:26:33 PM]: what is barrows even for anyway
[Blibis, Aug 20, 2015 1:26:35 PM]: just fun
[Blibis, Aug 20, 2015 1:26:36 PM]: or
[Snow, Aug 20, 2015 1:26:42 PM]: barrows equipment
[Snow, Aug 20, 2015 1:26:52 PM]: YES
[Snow, Aug 20, 2015 1:26:56 PM]: ahrims robe top
[Snow, Aug 20, 2015 1:27:05 PM]: (going for ahrims set)
[Blibis, Aug 20, 2015 1:30:25 PM]: tooth half :^)
[Snow, Aug 20, 2015 1:30:31 PM]: fk
[Snow, Aug 20, 2015 1:30:33 PM]: where are you training
[Blibis, Aug 20, 2015 1:30:38 PM]: rock crabs
[Snow, Aug 20, 2015 1:30:40 PM]: o
[Blibis, Aug 20, 2015 1:41:17 PM]: what's the best way to lvl slayer
[Blibis, Aug 20, 2015 1:41:20 PM]: dragons?
